id,tenant_id,forecast_date,scenario,predicted_tokens,predicted_cost_usd,trend_value,seasonal_multiplier,confidence_lower,confidence_upper,horizon_days,generated_at,agent_id
f39825dc-e71a-4621-876b-5c24789b55e7,enterprise_corp,2026-04-06,optimistic,19.1,0.00072306,1277.3,-69.6,39.299999999999955,2376.1000000000004,1,2026-04-11 12:09:06.918008+00:00,*
863ee10d-e2d9-43d1-9e40-8d05cdf28509,enterprise_corp,2026-04-06,pessimistic,2355.8,0.08918296,1277.3,-69.6,39.299999999999955,2376.1000000000004,1,2026-04-11 12:09:06.918008+00:00,*
f668bc16-af49-439b-8061-63a51da50292,enterprise_corp,2026-04-06,likely,1207.7,0.04571961,1277.3,-69.6,39.299999999999955,2376.1000000000004,1,2026-04-11 12:09:06.918008+00:00,*
7f0085fa-b70a-4f26-9c09-e790609df4f0,enterprise_corp,2026-04-07,optimistic,0.0,0E-8,1262.6,-286.7,-169.60000000000014,2121.2,2,2026-04-11 12:09:06.918008+00:00,*
0332439a-c0bd-4122-aad9-7da9207a3b15,enterprise_corp,2026-04-07,pessimistic,2290.9,0.08672606,1262.6,-286.7,-169.60000000000014,2121.2,2,2026-04-11 12:09:06.918008+00:00,*
efc3cb95-9fc1-43c9-93b0-6ab93fd4bacc,enterprise_corp,2026-04-07,likely,975.8,0.03694063,1262.6,-286.7,-169.60000000000014,2121.2,2,2026-04-11 12:09:06.918008+00:00,*
f8b8a2ff-6019-47d5-aa14-f85449ce8112,enterprise_corp,2026-04-08,pessimistic,2527.9,0.09569811,1247.9,81.7,112.90000000000009,2546.1,3,2026-04-11 12:09:06.918008+00:00,*
8bfe98f6-6fe0-4c55-aed0-5e1da5aa71ef,enterprise_corp,2026-04-08,likely,1329.5,0.05033057,1247.9,81.7,112.90000000000009,2546.1,3,2026-04-11 12:09:06.918008+00:00,*
2ed84d50-b2cc-481d-9610-adb2f2cc7c94,enterprise_corp,2026-04-08,optimistic,94.7,0.00358504,1247.9,81.7,112.90000000000009,2546.1,3,2026-04-11 12:09:06.918008+00:00,*
b612433b-0869-4d61-b7e7-11b43d43d256,enterprise_corp,2026-04-09,likely,863.1,0.03267417,1233.1,-370.1,-195.30000000000007,1921.5,4,2026-04-11 12:09:06.918008+00:00,*
b0824910-75d9-416a-be43-59053ebbc38e,enterprise_corp,2026-04-09,pessimistic,2116.8,0.08013520,1233.1,-370.1,-195.30000000000007,1921.5,4,2026-04-11 12:09:06.918008+00:00,*
10a6b27d-fcab-483d-bd87-b70d9a091501,enterprise_corp,2026-04-09,optimistic,0.0,0E-8,1233.1,-370.1,-195.30000000000007,1921.5,4,2026-04-11 12:09:06.918008+00:00,*
1da6e3bf-3c1b-47ed-aa40-e74baf659a1d,enterprise_corp,2026-04-10,pessimistic,2441.6,0.09243107,1218.4,64.1,68.09999999999991,2496.9,5,2026-04-11 12:09:06.918008+00:00,*
bd8ba093-ccb9-4754-b830-65526da061ce,enterprise_corp,2026-04-10,optimistic,12.8,0.00048457,1218.4,64.1,68.09999999999991,2496.9,5,2026-04-11 12:09:06.918008+00:00,*
cc7ef224-0e1f-4ba8-9575-60740b8d457e,enterprise_corp,2026-04-10,likely,1282.5,0.04855130,1218.4,64.1,68.09999999999991,2496.9,5,2026-04-11 12:09:06.918008+00:00,*
827ec945-65de-44ee-a4d1-5605678f6727,enterprise_corp,2026-04-11,likely,2105.1,0.07969227,1203.7,901.4,841.0999999999999,3369.1,6,2026-04-11 12:09:06.918008+00:00,*
22e2f669-997d-4a61-a13e-acf3d8e0c9d5,enterprise_corp,2026-04-11,pessimistic,3367.6,0.12748644,1203.7,901.4,841.0999999999999,3369.1,6,2026-04-11 12:09:06.918008+00:00,*
707eaf22-f857-46d3-8dd4-a070a3432750,enterprise_corp,2026-04-11,optimistic,839.7,0.03178832,1203.7,901.4,841.0999999999999,3369.1,6,2026-04-11 12:09:06.918008+00:00,*
0935ce18-b565-46ff-9a5a-e6d96f753d39,enterprise_corp,2026-04-12,optimistic,0.0,0E-8,1188.9,-320.8,-133.69999999999993,1870.1,7,2026-04-11 12:09:06.918008+00:00,*
5ec43ac4-1253-4e9a-92e5-1e47cf0cab4d,enterprise_corp,2026-04-12,likely,868.2,0.03286724,1188.9,-320.8,-133.69999999999993,1870.1,7,2026-04-11 12:09:06.918008+00:00,*
c10544fa-01f5-4647-b5bf-16b1f4d069a3,enterprise_corp,2026-04-12,pessimistic,2003.9,0.07586117,1188.9,-320.8,-133.69999999999993,1870.1,7,2026-04-11 12:09:06.918008+00:00,*
1792c0aa-4b74-4d1e-812d-8a566b4926a9,enterprise_corp,2026-04-13,likely,1104.6,0.04181658,1174.2,-69.6,-48.5,2257.7,8,2026-04-11 12:09:06.918008+00:00,*
6bf38fd8-f4da-4e29-99ad-7e01969dfeec,enterprise_corp,2026-04-13,pessimistic,2306.1,0.08730148,1174.2,-69.6,-48.5,2257.7,8,2026-04-11 12:09:06.918008+00:00,*
f468146a-1b33-4fee-ac78-2d5d8e91ebc9,enterprise_corp,2026-04-13,optimistic,0.0,0E-8,1174.2,-69.6,-48.5,2257.7,8,2026-04-11 12:09:06.918008+00:00,*
8ac38027-a029-4cf1-a2b1-9439e64ba1ff,enterprise_corp,2026-04-14,optimistic,0.0,0E-8,1159.5,-286.7,-216.60000000000014,1962.2,9,2026-04-11 12:09:06.918008+00:00,*
093dda68-46b0-4dc4-8f0c-33c157409869,enterprise_corp,2026-04-14,likely,872.8,0.03304138,1159.5,-286.7,-216.60000000000014,1962.2,9,2026-04-11 12:09:06.918008+00:00,*
a8c8372d-fb72-4f96-a4db-ad5fe07280a6,enterprise_corp,2026-04-14,pessimistic,2178.7,0.08247853,1159.5,-286.7,-216.60000000000014,1962.2,9,2026-04-11 12:09:06.918008+00:00,*
92cb7736-8eac-4ed2-8889-ef10db3870e8,enterprise_corp,2026-04-15,pessimistic,2465.2,0.09332449,1144.8,81.7,-6.199999999999818,2459.0,10,2026-04-11 12:09:06.918008+00:00,*
661b9754-df01-400f-8d9f-dc2d01d2625f,enterprise_corp,2026-04-15,likely,1226.4,0.04642754,1144.8,81.7,-6.199999999999818,2459.0,10,2026-04-11 12:09:06.918008+00:00,*
3946c33c-7d49-417c-b190-7de4bd65c74a,enterprise_corp,2026-04-15,optimistic,0.0,0E-8,1144.8,81.7,-6.199999999999818,2459.0,10,2026-04-11 12:09:06.918008+00:00,*
2260ef1c-d5b3-43f0-b116-9538de685051,enterprise_corp,2026-04-16,pessimistic,2007.2,0.07598610,1130.0,-370.1,-243.60000000000002,1763.6,11,2026-04-11 12:09:06.918008+00:00,*
5cfb6647-697f-45d8-8710-f7c0f556f8f2,enterprise_corp,2026-04-16,likely,760.0,0.02877114,1130.0,-370.1,-243.60000000000002,1763.6,11,2026-04-11 12:09:06.918008+00:00,*
5ae7a886-6982-4aaf-a157-1fbdf416112f,enterprise_corp,2026-04-16,optimistic,0.0,0E-8,1130.0,-370.1,-243.60000000000002,1763.6,11,2026-04-11 12:09:06.918008+00:00,*
7daae5fc-bcea-481a-9f7b-a5d91a839e89,enterprise_corp,2026-04-17,pessimistic,2457.3,0.09302543,1115.3,64.1,-49.19999999999982,2408.0,12,2026-04-11 12:09:06.918008+00:00,*
b335b464-c896-4b06-9058-e13559b3b32a,enterprise_corp,2026-04-17,optimistic,0.0,0E-8,1115.3,64.1,-49.19999999999982,2408.0,12,2026-04-11 12:09:06.918008+00:00,*
f0ab1659-5ddd-4b83-bd28-6b290fd889fc,enterprise_corp,2026-04-17,likely,1179.4,0.04464827,1115.3,64.1,-49.19999999999982,2408.0,12,2026-04-11 12:09:06.918008+00:00,*
6a1ef9c2-a7d7-4a78-8af3-424092cbfcdd,enterprise_corp,2026-04-18,optimistic,764.3,0.02893392,1100.6,901.4,761.3,3242.7,13,2026-04-11 12:09:06.918008+00:00,*
f0fe8824-2083-4ac7-ba3f-523a4251a511,enterprise_corp,2026-04-18,likely,2002.0,0.07578924,1100.6,901.4,761.3,3242.7,13,2026-04-11 12:09:06.918008+00:00,*
2326e173-f424-4777-9d5c-f932a07bf9ea,enterprise_corp,2026-04-18,pessimistic,3245.6,0.12286791,1100.6,901.4,761.3,3242.7,13,2026-04-11 12:09:06.918008+00:00,*
3bf68351-f3a7-4adc-9f6a-501dcb7936e8,enterprise_corp,2026-04-19,optimistic,0.0,0E-8,1085.9,-320.8,-270.6,1800.8000000000002,14,2026-04-11 12:09:06.918008+00:00,*
b2097015-959f-4b11-a201-04a6ea4d1f77,enterprise_corp,2026-04-19,pessimistic,2071.5,0.07842029,1085.9,-320.8,-270.6,1800.8000000000002,14,2026-04-11 12:09:06.918008+00:00,*
b8a76ea9-0bea-425c-b1f4-1ddca0d36e82,enterprise_corp,2026-04-19,likely,765.1,0.02896421,1085.9,-320.8,-270.6,1800.8000000000002,14,2026-04-11 12:09:06.918008+00:00,*
27b9978e-f8be-47e4-a61a-731643909f73,enterprise_corp,2026-04-20,optimistic,0.0,0E-8,1071.1,-69.6,-86.19999999999993,2089.4,15,2026-04-11 12:09:06.918008+00:00,*
304b37ee-bf53-41bc-8c03-a23c13bdeb98,enterprise_corp,2026-04-20,pessimistic,2175.6,0.08236118,1071.1,-69.6,-86.19999999999993,2089.4,15,2026-04-11 12:09:06.918008+00:00,*
