billing_id,tenant_id,year_month,line_type,description,model,quantity_tokens,amount_usd
a52ee1ae-71a7-4ac1-8b4e-7fbeec6cafc7,C1_SMALL,202511,base_fee,Monthly Platform License,,0,100
a52ee1ae-71a7-4ac1-8b4e-7fbeec6cafc7,C1_SMALL,202511,usage_cost,Model Usage Charge,mixed,4712589,232.0666
a52ee1ae-71a7-4ac1-8b4e-7fbeec6cafc7,C1_SMALL,202511,credit,Commercial Discount,,0,-50.0000
82aa9bca-6dca-4596-9517-c0150d44e386,C1_SMALL,202512,base_fee,Monthly Platform License,,0,100
82aa9bca-6dca-4596-9517-c0150d44e386,C1_SMALL,202512,usage_cost,Model Usage Charge,mixed,7297032,806.8695
6e4d6547-b9c6-40b0-820d-b4d839f38104,C1_SMALL,202601,base_fee,Monthly Platform License,,0,100
6e4d6547-b9c6-40b0-820d-b4d839f38104,C1_SMALL,202601,usage_cost,Model Usage Charge,mixed,9767284,527.9029
6e4d6547-b9c6-40b0-820d-b4d839f38104,C1_SMALL,202601,credit,Commercial Discount,,0,-10.0000
936ae034-43c9-4120-b9bd-d11a02f643f3,C1_SMALL,202602,base_fee,Monthly Platform License,,0,100
936ae034-43c9-4120-b9bd-d11a02f643f3,C1_SMALL,202602,usage_cost,Model Usage Charge,mixed,32142825,1076.5449
2b492eac-35c4-4628-85f6-4e163685758e,C1_SMALL,202603,base_fee,Monthly Platform License,,0,100
2b492eac-35c4-4628-85f6-4e163685758e,C1_SMALL,202603,usage_cost,Model Usage Charge,mixed,8197749,773.8545
2b492eac-35c4-4628-85f6-4e163685758e,C1_SMALL,202603,credit,Commercial Discount,,0,-50.0000
dfae5930-361d-44e1-93fd-c4ff40c26783,C1_SMALL,202604,base_fee,Monthly Platform License,,0,100
dfae5930-361d-44e1-93fd-c4ff40c26783,C1_SMALL,202604,usage_cost,Model Usage Charge,mixed,11299528,1179.3312
dfae5930-361d-44e1-93fd-c4ff40c26783,C1_SMALL,202604,credit,Commercial Discount,,0,-10.0000
6a0c9b2b-b9f3-42c2-b6dd-df6a19255452,C2_MEDIUM,202511,base_fee,Monthly Platform License,,0,500
6a0c9b2b-b9f3-42c2-b6dd-df6a19255452,C2_MEDIUM,202511,usage_cost,Model Usage Charge,mixed,9067376,1039.8363
a272cd0a-6ae2-4441-b9a2-cdfe47a9351d,C2_MEDIUM,202512,base_fee,Monthly Platform License,,0,500
a272cd0a-6ae2-4441-b9a2-cdfe47a9351d,C2_MEDIUM,202512,usage_cost,Model Usage Charge,mixed,1836896,1212.9367
a272cd0a-6ae2-4441-b9a2-cdfe47a9351d,C2_MEDIUM,202512,credit,Commercial Discount,,0,-50.0000
e00a44db-7d01-4cec-acbb-b30c6751b105,C2_MEDIUM,202601,base_fee,Monthly Platform License,,0,500
e00a44db-7d01-4cec-acbb-b30c6751b105,C2_MEDIUM,202601,usage_cost,Model Usage Charge,mixed,10636315,250.5408
e00a44db-7d01-4cec-acbb-b30c6751b105,C2_MEDIUM,202601,credit,Commercial Discount,,0,-10.0000
