invoice_id,tenant_id,year_month,total_calls,total_tokens,raw_cost_usd,base_fee_usd,overage_charge_usd,credits_usd,total_billed_usd,status
a52ee1ae-71a7-4ac1-8b4e-7fbeec6cafc7,C1_SMALL,202511,16891,4712589,232.0666,100,132.0666,50.0000,182.0666,finalized
82aa9bca-6dca-4596-9517-c0150d44e386,C1_SMALL,202512,12938,7297032,806.8695,100,706.8695,0.0000,806.8695,finalized
6e4d6547-b9c6-40b0-820d-b4d839f38104,C1_SMALL,202601,16171,9767284,527.9029,100,427.9029,10.0000,517.9029,finalized
936ae034-43c9-4120-b9bd-d11a02f643f3,C1_SMALL,202602,36075,32142825,1076.5449,100,976.5449,0.0000,1076.5449,finalized
2b492eac-35c4-4628-85f6-4e163685758e,C1_SMALL,202603,31409,8197749,773.8545,100,673.8545,50.0000,723.8545,finalized
dfae5930-361d-44e1-93fd-c4ff40c26783,C1_SMALL,202604,12008,11299528,1179.3312,100,1079.3312,10.0000,1169.3312,draft
6a0c9b2b-b9f3-42c2-b6dd-df6a19255452,C2_MEDIUM,202511,12524,9067376,1039.8363,500,539.8363,0.0000,1039.8363,finalized
a272cd0a-6ae2-4441-b9a2-cdfe47a9351d,C2_MEDIUM,202512,6704,1836896,1212.9367,500,712.9367,50.0000,1162.9367,finalized
e00a44db-7d01-4cec-acbb-b30c6751b105,C2_MEDIUM,202601,25385,10636315,250.5408,500,0.0000,10.0000,490.0000,finalized
c8a925bf-6876-4496-89c7-7a5b7b98449c,C2_MEDIUM,202602,30015,28574280,92.4690,500,0.0000,10.0000,490.0000,finalized
f44c26bb-30ed-49e4-a9ae-2a38604766c3,C2_MEDIUM,202603,33053,23302365,248.0621,500,0.0000,0.0000,500.0000,finalized
303961cc-2a8c-48e5-aad5-9c5d1178863e,C2_MEDIUM,202604,34442,24522704,831.1605,500,331.1605,0.0000,831.1605,draft
dde36e65-3646-4bf5-af94-44caebb08e36,C3_ENTERPRISE,202511,16809,13295919,1038.6825,2500,0.0000,0.0000,2500.0000,finalized
82196d0b-2cfb-4320-adbd-cec9793732ef,C3_ENTERPRISE,202512,39466,14049896,126.9487,2500,0.0000,0.0000,2500.0000,finalized
1f938a61-a520-4f32-99ff-e7831c58eba9,C3_ENTERPRISE,202601,42295,39757300,500.5080,2500,0.0000,10.0000,2490.0000,finalized
bdc31051-8439-49ad-80c9-183e550730b3,C3_ENTERPRISE,202602,42281,23719641,1454.7480,2500,0.0000,10.0000,2490.0000,finalized
da7f3b9f-56c0-4b8c-b8c5-ac1d603d1c78,C3_ENTERPRISE,202603,44861,27679237,1184.3694,2500,0.0000,10.0000,2490.0000,finalized
f7e483dd-45e3-42c4-afd4-992bef782087,C3_ENTERPRISE,202604,37531,10095839,314.6216,2500,0.0000,0.0000,2500.0000,draft
