timestamp,tenant_id,agent_id,provider,model,input_tokens,output_tokens,total_tokens,duration_ms,status,input_cost_usd,output_cost_usd,total_cost_usd,anomaly_flag
2025-10-27,C1_SMALL,Audit,openai,gpt-4,2045,5576,7621,7981,OK,0.02045,0.16728,0.18773,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-3.5,165,552,717,910,OK,8.2e-05,0.000828,0.000911,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-3.5,149,324,473,678,OK,7.4e-05,0.000486,0.000561,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-3.5,816,1992,2808,3071,OK,0.000408,0.002988,0.003396,False
2025-10-27,C1_SMALL,ops_analyzer,mistral,mistral,771,414,1185,1541,OK,0.000231,0.000331,0.000563,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,783,1770,2553,2834,OK,0.00783,0.0531,0.06093,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,1435,501,1936,2244,OK,0.01435,0.01503,0.02938,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,1244,1994,3238,3633,OK,0.01244,0.05982,0.07226,False
2025-10-27,C1_SMALL,ops_analyzer,openai,gpt-3.5,310,334,644,815,OK,0.000155,0.000501,0.000656,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,888,1082,1970,2286,OK,0.00888,0.03246,0.04134,False
2025-10-27,C1_SMALL,ops_analyzer,openai,gpt-4,502,904,1406,1599,OK,0.00502,0.02712,0.03214,False
2025-10-27,C1_SMALL,ops_analyzer,mistral,mistral,923,575,1498,1911,OK,0.000277,0.00046,0.000737,False
2025-10-27,C1_SMALL,ops_analyzer,openai,gpt-3.5,472,367,839,1278,OK,0.000236,0.00055,0.000786,False
2025-10-27,C1_SMALL,ops_analyzer,openai,gpt-4,594,341,935,1311,OK,0.00594,0.01023,0.01617,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-3.5,384,421,805,1084,OK,0.000192,0.000632,0.000824,False
2025-10-27,C1_SMALL,Audit,mistral,mistral,2160,3839,5999,6324,OK,0.000648,0.003071,0.003719,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,729,1329,2058,2494,OK,0.00729,0.03987,0.04716,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,505,1029,1534,1967,OK,0.00505,0.03087,0.03592,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-4,1064,1513,2577,2947,OK,0.01064,0.04539,0.05603,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-4,267,322,589,762,OK,0.00267,0.00966,0.01233,False
2025-10-27,C1_SMALL,ops_analyzer,openai,gpt-3.5,436,346,782,1264,OK,0.000218,0.000519,0.000737,False
2025-10-27,C1_SMALL,Audit,openai,gpt-4,1100,4541,5641,5880,OK,0.011,0.13623,0.14723,False
2025-10-27,C1_SMALL,data_extractor,openai,gpt-3.5,1178,1831,3009,3494,OK,0.000589,0.002747,0.003336,False
2025-10-27,C1_SMALL,support_bot,mistral,mistral,400,152,552,1034,OK,0.00012,0.000122,0.000242,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-3.5,288,567,855,1099,OK,0.000144,0.000851,0.000994,False
2025-10-27,C1_SMALL,ops_analyzer,mistral,mistral,528,1021,1549,1971,OK,0.000158,0.000817,0.000975,False
2025-10-27,C1_SMALL,Audit,openai,gpt-3.5,2960,3678,6638,6802,OK,0.00148,0.005517,0.006997,False
2025-10-27,C1_SMALL,support_bot,mistral,mistral,381,664,1045,1372,OK,0.000114,0.000531,0.000646,False
2025-10-27,C1_SMALL,Audit,openai,gpt-4,2624,2382,5006,5491,OK,0.02624,0.07146,0.0977,False
2025-10-27,C1_SMALL,Audit,openai,gpt-3.5,2077,2896,4973,5311,OK,0.001038,0.004344,0.005383,False
2025-10-27,C1_SMALL,support_bot,openai,gpt-3.5,305,628,933,1289,OK,0.000152,0.000942,0.001094,False
2025-10-27,C1_SMALL,support_bot,mistral,mistral,181,211,392,851,OK,5.4e-05,0.000169,0.000223,False
